source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,8
0,9
0,10
0,13
0,15
0,16
0,17
0,18
0,19
0,20
0,25
0,29
0,31
0,32
0,40
0,41
0,44
0,50
0,51
0,53
0,54
0,55
0,61
0,66
0,67
0,72
0,76
0,77
0,82
0,98
0,103
0,113
0,114
0,115
0,118
0,148
0,172
0,193
0,208
0,246
0,253
0,254
0,266
0,268
0,284
0,302
0,311
0,316
0,327
0,333
0,346
0,353
0,355
0,380
0,400
0,411
0,418
0,454
0,456
0,469
0,473
0,485
0,487
0,499
0,518
0,533
0,535
0,542
0,558
0,602
0,606
0,617
0,619
0,623
0,626
0,638
0,649
0,667
0,672
0,679
0,698
0,701
0,738
0,741
0,746
0,761
0,797
0,802
0,812
0,841
0,844
0,845
0,848
0,859
0,864
0,913
0,966
0,982
0,984
0,1005
0,1011
0,1013
0,1045
0,1084
0,1116
0,1131
0,1151
0,1164
0,1260
0,1332
0,1351
0,1362
0,1382
0,1416
0,1462
0,1472
0,1480
0,1492
0,1500
0,1507
0,1551
0,1611
0,1620
0,1643
0,1772
0,1814
0,1829
0,1840
0,1851
0,1911
0,1939
0,1946
0,1991
0,2002
0,2048
0,2069
0,2078
0,2157
0,2180
0,2241
0,2243
0,2289
0,2338
0,2411
0,2488
0,2497
0,2532
0,2552
0,2554
0,2557
0,2564
0,2571
0,2572
0,2585
0,2594
0,2595
0,2696
0,2762
0,2785
0,2855
0,2865
0,2929
0,2951
0,2959
0,2966
0,2977
0,3036
0,3083
0,3101
0,3137
0,3258
0,3306
0,3311
0,3314
0,3318
0,3344
0,3403
0,3413
0,3415
0,3469
0,3486
0,3490
0,3493
0,3506
0,3544
0,3567
0,3694
0,3759
0,3785
0,3818
0,3834
0,3873
0,3893
0,3916
0,3917
0,4000
0,4002
0,4008
0,4122
0,4135
0,4149
1,11
1,485
1,712
1,2464
1,2668
1,3857
2,4
2,5
2,6
2,7
2,13
2,14
2,17
2,19
2,25
2,29
2,39
2,42
2,59
2,68
2,72
2,80
2,87
2,95
2,104
2,108
2,116
2,133
2,134
2,150
2,159
2,169
2,189
2,197
2,227
2,230
2,263
2,281
2,305
2,325
2,333
2,338
2,339
2,358
2,367
2,377
2,386
2,391
2,416
2,418
2,421
2,444
2,456
2,484
2,486
2,546
2,565
2,566
2,635
2,643
2,658
2,676
2,710
2,727
2,743
2,764
2,767
2,770
2,809
2,814
2,816
2,831
2,838
2,881
2,884
2,886
2,911
2,914
2,930
2,950
2,957
2,968
2,975
2,992
2,996
2,999
2,1018
2,1023
2,1039
2,1101
2,1116
2,1119
2,1152
2,1183
2,1192
2,1214
2,1221
2,1245
2,1289
2,1346
2,1350
2,1352
2,1355
2,1384
2,1404
2,1522
2,1533
2,1547
2,1549
2,1560
2,1562
2,1589
2,1602
2,1622
2,1651
2,1671
2,1683
2,1690
2,1713
2,1749
2,1768
2,1858
2,1902
2,2026
2,2029
2,2047
2,2076
2,2102
2,2143
2,2153
2,2172
2,2175
2,2186
2,2194
2,2237
2,2255
2,2268
2,2282
2,2311
2,2331
2,2342
2,2356
2,2397
2,2486
2,2508
2,2514
2,2518
2,2621
2,2625
2,2638
2,2639
2,2645
2,2680
2,2745
2,2801
2,2822
2,2837
2,2938
2,2943
2,2969
2,3017
2,3030
2,3049
2,3116
2,3143
2,3167
2,3266
2,3312
2,3368
2,3530
2,3580
2,3734
2,3775
2,3811
2,3831
2,3866
2,3942
2,3949
2,3990
2,4129
2,4133
2,4155
3,4
3,5
3,9
3,12
3,15
3,36
3,73
3,105
3,106
3,138
3,186
3,191
3,217
3,230
3,374
3,385
3,417
3,444
3,460
3,636
3,680
3,681
3,730
3,742
3,761
3,820
3,951
3,1068
3,1072
3,1327
3,1330
3,1331
3,1411
3,1479
3,1495
3,1511
3,1524
3,1533
3,1715
3,1824
3,1876
3,1951
3,2022
3,2059
3,2153
3,2172
3,2211
3,2215
3,2283
3,2365
3,2393
3,2683
3,2696
3,2861
3,3100
3,3203
3,3384
3,3414
3,3556
3,3608
3,3626
3,3745
3,3771
3,3856
3,3915
3,3941
4,6
4,7
4,9
4,10
4,11
4,12
4,17
4,20
4,23
4,24
4,26
4,27
4,28
4,33
4,35
4,38
4,41
4,46
4,56
4,61
4,63
4,66
4,68
4,103
4,109
4,123
4,129
4,162
4,202
4,208
4,232
4,233
4,238
4,247
4,332
4,336
4,368
4,435
4,443
4,454
4,457
4,461
4,471
4,484
4,491
4,492
4,518
4,519
4,569
4,599
4,613
4,643
4,685
4,692
4,708
4,773
4,793
4,824
4,844
4,864
4,879
4,889
4,1007
4,1021
4,1071
4,1119
4,1130
4,1161
4,1195
4,1247
4,1275
4,1277
4,1321
4,1342
4,1356
4,1376
4,1414
4,1440
4,1450
4,1465
4,1504
4,1505
4,1511
4,1557
4,1577
4,1610
4,1708
4,1715
4,1755
4,1764
4,1874
4,1882
4,1907
4,1921
4,1945
4,1986
4,2004
4,2032
4,2053
4,2074
4,2149
4,2192
4,2194
4,2332
4,2365
4,2453
4,2482
4,2550
4,2560
4,2590
4,2592
4,2741
4,2742
4,2796
4,2863
4,2941
4,2946
4,3033
4,3076
4,3139
4,3141
4,3158
4,3186
4,3213
4,3224
4,3372
4,3379
4,3395
4,3500
4,3523
4,3591
4,3615
4,3692
4,3708
4,3865
4,3870
4,3884
4,3890
4,3933
4,3939
4,4024
4,4077
4,4110
5,7
5,13
5,14
5,16
5,32
5,38
5,47
5,48
5,60
5,71
5,79
5,84
5,96
5,99
5,101
5,111
5,112
5,119
5,126
5,148
5,151
5,153
5,160
5,165
5,182
5,208
5,235
5,272
5,357
5,432
5,444
5,452
5,485
5,505
5,511
5,521
5,555
5,653
5,662
5,680
5,701
5,849
5,860
5,890
5,962
5,1022
5,1043
5,1078
5,1162
5,1178
5,1215
5,1287
5,1296
5,1314
5,1532
5,1580
5,1641
5,1651
5,1736
5,1742
5,1807
5,1876
5,1940
5,1946
5,1957
5,2011
5,2016
5,2106
5,2305
5,2502
5,2515
5,2764
5,2847
5,2915
5,3050
5,3209
5,3262
5,3470
5,3481
5,3495
5,3530
5,3538
5,3589
5,3649
5,3765
5,3823
5,3825
5,3970
5,4039
5,4045
5,4114
6,8
6,28
6,33
6,37
6,48
6,51
6,53
6,58
6,64
6,94
6,98
6,120
6,141
6,155
6,167
6,177
6,185
6,204
6,212
6,223
6,273
6,306
6,311
6,321
6,324
6,330
6,352
6,371
6,373
6,376
6,390
6,394
6,403
6,422
6,470
6,525
6,537
6,604
6,610
6,650
6,689
6,744
6,760
6,767
6,791
6,818
6,835
6,887
6,897
6,902
6,907
6,915
6,932
6,1012
6,1026
6,1063
6,1082
6,1187
6,1213
6,1236
6,1396
6,1418
6,1539
6,1566
6,1603
6,1625
6,1724
6,1838
6,1849
6,1891
6,2112
6,2203
6,2436
6,2509
6,2600
6,2602
6,2652
6,2655
6,2724
6,2802
6,2849
6,2925
6,2934
6,2954
6,2985
6,3031
