source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,9
0,10
0,11
0,12
0,13
0,16
0,17
0,19
0,20
0,21
0,22
0,23
0,24
0,31
0,38
0,39
0,41
0,46
0,48
0,52
0,56
0,60
0,61
0,66
0,67
0,70
0,72
0,76
0,86
0,92
0,102
0,109
0,115
0,124
0,130
0,140
0,143
0,155
0,165
0,168
0,169
0,172
0,194
0,203
0,224
0,228
0,233
0,241
0,242
0,252
0,341
0,344
0,381
0,424
0,440
0,451
0,474
0,477
0,483
0,484
0,512
0,517
0,523
0,535
0,557
0,563
0,566
0,581
0,587
0,594
0,596
0,601
0,611
0,659
0,686
0,720
0,738
0,803
0,839
0,871
0,876
0,911
0,959
0,965
0,1069
0,1088
0,1125
0,1132
0,1199
0,1239
0,1279
0,1300
0,1330
0,1331
0,1377
0,1416
0,1444
0,1461
0,1487
0,1491
0,1546
0,1659
0,1663
0,1729
0,1781
0,1809
0,1825
0,1911
0,2022
0,2126
0,2138
0,2212
0,2219
0,2239
0,2258
0,2294
0,2312
0,2380
0,2421
0,2545
0,2560
0,2598
0,2616
0,2678
0,2726
0,2731
0,2773
0,2788
0,2803
0,2851
0,2914
0,2929
0,3102
0,3110
0,3120
0,3202
0,3221
0,3264
0,3296
0,3326
0,3622
0,3623
0,3642
0,3688
0,3767
0,3838
0,3879
0,3927
1,4
1,5
1,6
1,7
1,11
1,24
1,30
1,34
1,39
1,46
1,53
1,54
1,67
1,80
1,81
1,85
1,87
1,89
1,112
1,115
1,121
1,123
1,126
1,169
1,178
1,184
1,201
1,230
1,235
1,236
1,285
1,306
1,307
1,314
1,320
1,344
1,354
1,362
1,390
1,408
1,455
1,463
1,481
1,505
1,509
1,540
1,555
1,570
1,581
1,582
1,635
1,647
1,658
1,664
1,691
1,708
1,765
1,772
1,826
1,830
1,898
1,946
1,999
1,1000
1,1045
1,1070
1,1090
1,1094
1,1142
1,1170
1,1250
1,1282
1,1288
1,1314
1,1379
1,1454
1,1463
1,1474
1,1481
1,1559
1,1580
1,1706
1,1715
1,1773
1,1794
1,2013
1,2060
1,2149
1,2174
1,2182
1,2309
1,2328
1,2372
1,2383
1,2403
1,2464
1,2646
1,2723
1,2769
1,2904
1,3086
1,3158
1,3234
1,3236
1,3249
1,3274
1,3373
1,3393
1,3518
1,3630
1,3677
1,3845
1,3956
1,4010
1,4041
1,4085
1,4107
2,4
2,8
2,25
2,43
2,52
2,62
2,69
2,74
2,79
2,206
2,208
2,216
2,219
2,232
2,257
2,294
2,363
2,410
2,418
2,490
2,624
2,632
2,787
2,1029
2,1070
2,1463
2,1605
2,1620
2,1702
2,1878
2,1949
2,1983
2,2043
2,2127
2,2219
2,2260
2,2701
2,2864
2,2897
2,2961
2,3081
2,3145
2,3198
2,3203
2,3313
2,3534
2,3888
3,1755
3,1808
3,3771
4,5
4,8
4,9
4,13
4,15
4,18
4,25
4,29
4,31
4,37
4,45
4,49
4,50
4,64
4,65
4,76
4,93
4,99
4,112
4,114
4,116
4,125
4,126
4,135
4,138
4,142
4,150
4,151
4,153
4,164
4,179
4,180
4,192
4,205
4,245
4,271
4,279
4,281
4,304
4,305
4,311
4,380
4,404
4,434
4,506
4,575
4,623
4,646
4,698
4,701
4,758
4,774
4,799
4,834
4,872
4,917
4,956
4,994
4,995
4,998
4,1044
4,1071
4,1095
4,1099
4,1133
4,1154
4,1164
4,1224
4,1239
4,1247
4,1287
4,1389
4,1399
4,1458
4,1478
4,1524
4,1566
4,1594
4,1603
4,1853
4,1857
4,1916
4,1923
4,1952
4,1967
4,1970
4,2072
4,2076
4,2077
4,2158
4,2229
4,2232
4,2350
4,2363
4,2409
4,2420
4,2421
4,2488
4,2560
4,2678
4,2695
4,2703
4,2748
4,2766
4,2868
4,2885
4,2908
4,2983
4,3119
4,3161
4,3165
4,3186
4,3224
4,3340
4,3421
4,3432
4,3493
4,3725
4,3794
4,3864
4,3901
4,3989
4,4072
4,4120
5,6
5,9
5,18
5,20
5,22
5,52
5,64
5,71
5,91
5,137
5,146
5,152
5,167
5,178
5,183
5,193
5,196
5,216
5,245
5,254
5,258
5,262
5,269
5,343
5,346
5,355
5,406
5,469
5,583
5,617
5,618
5,653
5,779
5,849
5,910
5,1060
5,1091
5,1262
5,1278
5,1698
5,1707
5,1817
5,1980
5,2014
5,2059
5,2352
5,2452
5,2453
5,2671
5,2693
5,3048
5,3149
5,3223
5,3349
5,3466
5,3474
5,3519
5,3848
5,4023
5,4027
5,4135
5,4140
5,4147
6,7
6,8
6,17
6,27
6,57
6,98
6,150
6,164
6,175
6,188
6,189
6,272
6,395
6,396
6,485
6,568
6,705
6,722
6,957
6,1174
6,1255
6,1379
6,1401
6,1425
6,1554
6,1938
6,2214
6,2221
6,2235
6,2346
6,2379
6,2519
6,2573
6,2577
6,2617
6,2638
6,2681
6,2706
6,2722
6,2815
6,2845
6,3098
6,3330
6,3364
6,3487
6,3637
6,3803
6,4124
7,12
7,14
7,15
7,28
7,38
7,47
7,54
7,65
7,75
7,77
7,106
7,124
7,126
7,134
7,148
7,204
7,219
7,237
7,265
7,314
7,316
7,321
7,322
7,368
7,411
7,413
7,420
7,473
7,479
7,558
7,588
7,598
7,626
7,674
7,696
7,701
7,783
7,814
7,832
7,886
7,887
7,912
7,952
7,954
7,1025
7,1101
7,1150
7,1161
7,1169
7,1237
7,1369
7,1391
7,1393
7,1430
7,1439
7,1492
7,1515
7,1569
7,1631
7,1679
7,1731
7,1798
7,1840
7,1874
7,1890
7,1905
7,1957
7,2038
7,2070
7,2144
7,2177
7,2202
7,2314
7,2334
7,2411
7,2415
7,2471
7,2524
7,2760
7,2813
7,2842
7,2847
7,2913
7,3048
7,3090
7,3116
7,3125
7,3130
7,3144
7,3159
7,3337
7,3360
7,3448
7,3494
7,3666
7,3729
7,3778
7,3795
7,3948
7,4008
7,4058
8,10
8,13
8,14
8,26
8,35
8,42
8,56
8,79
8,82
8,85
8,94
8,98
8,104
8,117
8,239
8,282
8,298
8,366
8,378
8,391
8,428
8,437
8,441
8,514
8,611
8,615
8,712
8,732
8,872
8,925
8,931
8,986
8,1005
8,1035
8,1056
8,1155
8,1184
8,1185
8,1274
8,1315
8,1333
8,1358
8,1482
8,1502
8,1514
8,1615
8,1774
8,1897
8,1945
8,2003
8,2049
8,2110
8,2181
8,2361
8,2376
8,2592
8,2605
8,2631
8,2763
8,2805
8,2934
8,2959
8,2965
8,3080
8,3205
8,3216
8,3234
8,3381
8,3392
8,3508
8,3630
8,3762
8,3797
8,3881
8,3903
8,3979
8,4008
9,10
9,11
9,29
9,33
9,76
9,94
9,96
9,98
9,106
9,113
9,117
9,125
9,163
9,171
9,177
9,199
9,209
9,218
9,227
9,249
9,250
9,252
9,253
9,286
9,291
9,323
9,337
9,338
9,404
9,427
9,430
9,472
9,475
9,515
9,525
9,536
9,571
9,587
9,601
9,621
9,670
9,685
9,732
9,752
9,780
9,799
9,854
9,857
