Node_id,Degree
13,5
14,1
22,6
24,4
25,1
26,5
27,4
28,1
29,1
45,49
46,42
62,7
65,7
70,2
71,1
74,2
75,1
78,4
80,2
81,2
82,1
85,1
88,42
93,5
95,2
97,2
98,1
106,4
113,4
114,1
115,2
122,8
123,1
124,2
128,4
135,11
140,6
141,4
142,2
161,4
163,2
164,2
165,2
178,8
179,3
183,1
185,17
187,2
188,2
192,4
193,4
194,1
195,3
197,2
199,2
200,14
205,6
214,7
215,17
231,30
232,1
238,4
244,7
245,2
252,1
253,3
254,1
260,5
267,3
269,3
272,6
281,8
283,2
284,1
293,2
294,1
299,5
302,2
309,5
312,2
315,1
320,6
321,2
339,30
345,13
348,2
350,2
351,17
352,3
357,4
358,2
360,3
364,4
365,5
369,5
372,1
373,1
374,1
375,1
376,2
379,2
380,3
385,6
392,1
396,4
400,1
403,1
408,2
409,3
410,1
414,1
449,30
450,1
482,13
491,11
492,14
495,4
500,8
510,2
523,2
543,24
546,2
547,5
570,48
573,4
574,2
580,2
593,16
598,1
615,18
624,17
628,1
639,7
676,26
677,2
715,4
717,1
727,6
731,1
733,2
734,1
735,1
743,9
748,1
749,1
750,2
751,1
773,55
778,3
782,3
787,2
800,2
811,9
820,2
822,2
824,13
830,2
831,1
832,15
833,1
834,3
836,3
839,2
844,2
851,6
853,4
855,1
864,1
866,2
869,5
880,3
882,4
884,2
885,3
887,2
888,6
890,2
894,5
896,5
899,3
914,7
915,2
920,2
921,2
925,1
930,5
934,7
937,5
938,2
939,1
941,9
950,7
951,2
953,3
1000,25
1006,2
1008,8
1010,1
1013,1
1014,4
1023,29
1024,2
1025,1
1026,2
1028,7
1029,2
1044,8
1045,1
1048,3
1050,1
1051,2
1058,9
1059,3
1073,3
1074,17
1075,1
1078,5
1090,6
1092,2
1093,3
1098,3
1101,2
1104,2
1105,1
1107,1
1109,3
1116,9
1124,7
1125,1
1149,9
1150,3
1151,13
1153,1
1154,2
1157,3
1172,8
1174,2
1186,17
1187,1
1194,1
1217,24
1229,7
1234,7
1248,3
1254,3
1258,4
1265,10
1267,4
1278,8
1279,2
1280,3
1281,6
1289,3
1292,3
1293,34
1310,11
1311,3
1321,4
1322,2
1323,2
1327,1
1339,5
1341,4
1343,4
1344,1
1346,1
1347,1
1350,1
1353,4
1356,4
1373,5
1375,2
1376,1
1378,1
1383,1
1386,3
1403,7
1404,4
1405,2
1407,6
1408,3
1425,9
1427,2
1430,2
1436,3
1488,31
1490,1
1493,11
1497,2
1498,3
1499,2
1508,3
1511,3
1519,3
1520,6
1545,14
1549,4
1550,3
1551,1
1552,1
1556,3
1560,1
1561,1
1563,23
1588,19
1589,1
1594,5
1595,1
1599,1
1600,2
1606,5
1608,2
1611,3
1613,4
1620,7
1621,2
1653,56
1656,4
1658,6
1660,4
1662,2
1667,9
1668,2
1669,1
1670,1
1672,4
1674,6
1675,1
1685,9
1694,10
1695,1
1696,2
1699,4
1711,8
1727,7
1728,4
1736,6
1738,3
1765,8
1776,4
1782,2
1787,3
1793,2
1796,2
1798,2
1817,5
1818,3
1821,2
1822,1
1823,1
1825,2
1829,6
1832,3
1833,2
1834,2
1836,1
1838,2
1839,9
1840,5
1841,6
1854,8
1855,2
1857,2
1858,17
1859,2
1860,1
1862,1
1877,10
1878,2
1879,1
1880,1
1896,8
1897,2
1908,4
1910,2
1914,4
1915,1
1916,2
1941,7
1958,19
1959,2
1962,2
1963,2
1966,3
1967,2
1968,1
1969,2
1976,1
1981,7
1982,3
1983,2
1985,2
1989,4
1992,1
1995,42
1997,8
2001,3
2003,2
2004,1
2009,6
2010,3
2042,17
2043,2
2044,4
2047,4
2049,2
2054,5
2055,2
2059,1
2072,16
2073,3
2074,2
2075,3
2076,2
2080,2
2081,1
2085,4
2087,6
2115,17
2116,5
2117,1
2118,1
2119,1
2120,1
2123,1
2124,1
2127,1
2133,12
2136,2
2142,5
2143,1
2144,23
2155,10
2165,13
2169,5
2182,5
2184,3
2185,8
2186,1
2190,4
2193,6
2200,4
2201,2
2202,4
2203,1
2212,47
2215,3
2222,5
2223,2
2239,4
2243,7
2247,1
2248,1
2249,8
2250,17
2255,5
2259,1
2287,14
2293,3
2295,1
2298,2
2303,6
2304,3
2306,4
2307,2
2309,3
2316,3
2326,7
2328,1
2329,2
2331,1
2332,2
2334,2
2335,2
2338,42
2339,1
2340,3
2341,2
2342,3
2348,1
2350,2
2352,1
2355,1
2356,1
2368,9
2385,3
2386,2
2388,3
2394,5
2404,8
2409,4
2410,13
2420,5
2443,13
2449,34
2450,2
2451,1
2452,5
2455,2
2457,23
2459,1
2465,4
2474,3
2475,3
2476,1
2485,2
2487,1
2490,5
2501,10
2503,3
2504,2
2505,3
2506,2
2511,5
2512,3
2515,1
2516,3
2526,6
2527,2
2530,42
2532,1
2535,42
2536,4
2556,11
2557,1
2558,2
2559,3
2560,9
2561,1
2562,4
2563,1
2566,3
2568,5
2569,1
2591,6
2592,2
2593,1
2596,3
2607,11
2611,4
2613,2
2614,2
2620,8
2621,34
2622,1
2623,34
2624,1
2630,5
2654,38
2655,1
2656,2
2661,7
2664,1
2666,2
2710,33
2712,2
2713,3
2720,3
2741,65
2742,1
2749,1
2750,1
2752,4
2754,4
2761,4
2762,1
2770,4
2771,4
2773,5
2774,23
2783,2
2784,3
2785,3
2789,5
2797,8
2803,1
2805,2
2806,2
2810,3
2823,4
2826,5
2846,16
2848,2
2851,2
2852,2
2870,11
2877,3
2879,1
2883,2
2912,18
2915,3
2917,2
2922,3
2926,2
2936,1
2938,1
2949,9
2950,1
2952,45
2959,10
2980,24
2981,1
2982,3
2984,2
2991,2
2993,5
2997,3
3006,10
3007,2
3032,12
3033,3
3034,2
3037,2
3048,5
3052,5
