Node_id,Degree
0,155
1,118
2,48
3,4
4,127
5,66
6,51
7,104
8,80
9,115
10,32
11,25
12,55
13,100
14,77
15,34
16,38
17,83
18,45
19,30
20,124
21,45
22,55
23,50
24,70
25,16
26,31
27,29
28,60
29,24
30,35
31,26
32,27
33,10
34,21
35,17
36,36
37,8
38,16
39,62
40,44
41,46
42,26
43,20
44,18
45,22
46,11
47,19
48,22
49,33
50,19
51,39
52,43
53,30
54,41
55,25
56,23
57,22
58,42
59,27
60,63
61,29
62,18
63,27
64,17
65,22
66,11
67,66
68,8
69,44
70,30
71,31
72,31
73,30
74,19
75,20
76,19
77,19
78,16
79,23
80,9
81,8
82,26
83,21
84,6
85,34
86,7
87,17
88,36
89,21
90,15
91,61
92,10
93,10
94,49
95,27
96,34
97,23
98,11
99,28
100,10
101,29
102,10
103,11
104,32
105,23
106,15
107,16
108,16
109,12
110,6
111,6
112,28
113,10
114,5
115,18
116,37
117,14
118,16
119,11
120,10
121,11
122,35
123,13
124,41
125,13
126,26
127,14
128,19
129,7
130,16
131,39
132,15
133,25
134,3
135,23
136,9
137,6
138,23
139,42
140,24
141,8
142,8
143,19
144,5
145,12
146,7
147,19
148,19
149,33
150,18
151,7
152,33
153,16
154,18
155,9
156,14
157,11
158,14
159,17
160,24
161,14
162,5
163,7
164,3
165,15
166,17
167,14
168,15
169,4
170,20
171,16
172,18
173,28
174,11
175,9
176,14
177,25
178,11
179,4
180,13
181,24
182,27
183,3
184,10
185,15
186,42
187,15
188,52
189,26
190,7
191,10
192,11
193,21
194,5
195,11
196,7
197,16
198,3
199,14
200,21
201,20
202,36
203,13
204,11
205,9
206,15
207,19
208,12
209,21
210,14
211,7
212,5
213,3
214,11
215,8
216,10
217,14
218,4
219,10
220,13
221,11
222,15
223,10
224,11
225,20
226,11
227,13
228,8
229,14
230,7
231,5
232,8
233,3
234,21
235,26
236,11
237,5
238,13
239,20
240,12
241,6
242,5
243,26
244,14
245,14
246,17
247,10
248,19
249,12
250,15
251,13
252,14
253,9
254,7
255,30
256,14
257,12
258,3
259,19
260,9
261,10
262,13
263,9
264,12
265,14
266,17
267,13
268,15
269,25
270,4
271,9
272,16
273,19
274,11
275,14
276,9
277,14
278,13
279,18
280,5
281,23
282,7
283,18
284,9
285,5
286,11
287,10
288,18
289,9
290,25
291,17
292,9
293,8
294,13
295,9
296,3
297,11
298,8
299,17
300,9
301,17
302,8
303,11
304,5
305,13
306,8
307,7
308,9
309,11
310,12
311,23
312,6
313,9
314,6
315,8
316,12
317,8
318,3
319,8
320,10
321,4
322,6
323,13
324,9
325,5
326,6
327,11
328,7
329,5
330,22
331,16
332,6
333,6
334,18
335,10
336,9
337,6
338,9
339,17
340,3
341,9
342,13
343,5
344,3
345,11
346,10
347,9
348,12
349,14
350,11
351,20
352,9
353,5
354,11
355,8
356,28
357,13
358,10
359,7
360,17
361,11
362,6
363,8
364,26
365,13
366,13
367,12
368,5
369,19
370,20
371,6
372,4
373,23
374,12
375,17
376,6
377,6
378,3
379,7
380,6
381,8
382,8
383,11
384,8
385,11
386,14
387,12
388,13
389,10
390,13
391,5
392,5
393,13
394,10
395,6
396,12
397,10
398,11
399,10
400,15
401,9
402,11
403,13
404,12
405,4
406,6
407,11
408,4
409,7
410,7
411,20
412,12
413,3
414,6
415,9
416,27
417,8
418,13
419,10
420,15
421,16
422,6
423,7
424,9
425,8
426,11
427,19
428,10
429,16
430,6
431,5
432,7
433,7
434,15
435,13
436,16
437,15
438,17
439,5
440,7
441,12
442,10
443,12
444,7
445,4
446,12
447,12
448,5
449,9
450,4
451,7
452,4
453,6
454,11
455,8
456,6
457,7
458,7
459,10
460,11
461,5
462,5
463,11
464,8
465,9
466,12
467,10
468,17
469,9
470,10
471,10
472,3
473,4
474,9
475,5
476,5
477,6
478,7
479,7
480,13
481,4
482,7
483,9
484,8
485,4
486,18
487,9
488,13
489,7
490,12
491,10
492,15
493,17
494,8
495,8
496,15
497,11
498,5
499,8
500,4
501,4
502,5
503,10
504,4
505,11
506,8
507,3
508,8
509,8
510,6
511,6
512,6
513,5
514,4
515,13
516,7
517,5
518,5
519,9
520,12
521,8
