# index, _pos
0,"array([ -809.28510846, -7254.04850664])"
1,"array([ 4029.69552082, -1218.07574043])"
2,"array([ 5958.81175081, -2677.45588816])"
3,"array([4434.04478489, -266.39283163])"
4,"array([-3387.77930156,  2108.09576196])"
5,"array([-1241.65294675,  5165.31396574])"
6,"array([4741.81148724, -812.17102558])"
7,"array([ 1046.47175232, -3768.7405101 ])"
8,"array([ 1186.8655669, -4611.5211503])"
9,"array([-579.18866016, 3881.70024143])"
10,"array([-2988.70044029,  5364.43414321])"
11,"array([ 3845.7172797 , -6524.84008967])"
12,"array([5811.5451648 ,  105.16965273])"
13,"array([2194.22646542, 1810.87462343])"
14,"array([5875.74880457,  688.4490513 ])"
15,"array([ 5108.87569963, -5074.62195689])"
16,"array([-5735.81959635, -2200.12550296])"
17,"array([ 2349.73432801, -4885.81294888])"
18,"array([-4427.44946918, -1163.91953129])"
19,"array([4404.80383587, 2053.41711288])"
20,"array([ -65.55581246, 3266.69259622])"
21,"array([ 2522.45656287, -3151.51757908])"
22,"array([-131.4181337 ,  766.18512175])"
23,"array([-2607.92109021,  -808.19659356])"
24,"array([557.07673084, 424.52246989])"
25,"array([1831.42312124, 7444.99390843])"
26,"array([-187.89654038,  246.37717496])"
27,"array([647.99557532, 323.5134356 ])"
28,"array([-150.17820766, 2392.46400996])"
29,"array([ 709.81616213, -223.92745849])"
30,"array([-5751.51178931,  3111.22093528])"
31,"array([ 1693.04834359, -5446.27265948])"
32,"array([-1903.58597085,  4442.44338381])"
33,"array([-4460.6753819 , -5280.51870952])"
34,"array([-7103.55617869,  1257.40282471])"
35,"array([5069.53251972, 3484.56894248])"
36,"array([-5056.04682063,  4972.16938853])"
37,"array([1794.7505208 , 2396.05672862])"
38,"array([-1809.75879335, -3786.20185718])"
39,"array([-3126.87044323,  -757.98218018])"
40,"array([-638.54251614, 3942.73328938])"
41,"array([-5506.73106083,  -413.4217793 ])"
42,"array([6767.37459662, -510.97317488])"
43,"array([1990.91490869, 2380.75492233])"
44,"array([-2979.81488131,  2790.46697657])"
45,"array([193.53853214, -45.81672036])"
46,"array([218.55589746, -20.85796493])"
47,"array([  829.21960257, -5532.98424626])"
48,"array([-5649.94608396, -2445.6218661 ])"
49,"array([4004.8379762 ,   30.73959282])"
50,"array([4385.80659905, 5309.2267829 ])"
51,"array([-2718.52901293, -2622.86059703])"
52,"array([-3176.14930356,  5421.02038372])"
53,"array([-5434.98827479,   798.36354932])"
54,"array([ 5152.65099135, -3441.70650938])"
55,"array([-1368.62416175, -6141.6021518 ])"
56,"array([-4860.94271931,  4402.12091695])"
57,"array([-4991.06267524,  -148.75771225])"
58,"array([ 3403.40534547, -5540.50925195])"
59,"array([-4549.36876792,  4286.28241521])"
60,"array([ 4722.57786072, -2226.59357192])"
61,"array([ -554.74908193, -4165.1966461 ])"
62,"array([-87.00941849, 519.10082277])"
63,"array([6951.09456495, 1715.4952234 ])"
64,"array([3045.41622824, 6075.19653411])"
65,"array([314.5279685 , 166.72680038])"
66,"array([7543.7312814 , 1396.57666011])"
67,"array([ 5207.34291635, -4692.03781005])"
68,"array([ 1184.10241454, -3699.94443797])"
69,"array([-3348.8937474 ,  2963.36004197])"
70,"array([-153.7508193 ,  751.90036236])"
71,"array([466.93505866, 733.29513815])"
72,"array([-6773.43063661, -2625.7863628 ])"
73,"array([-4677.51802292, -5160.93372457])"
74,"array([ -846.76743806, -5262.01890324])"
75,"array([  28.25615092, -214.61291623])"
76,"array([ 2913.12534696, -3483.42186789])"
77,"array([ 2527.26597995, -5756.87969935])"
78,"array([367.05029339, 225.88221839])"
79,"array([-2485.54601825, -3236.86843246])"
80,"array([243.00077981, 698.62690245])"
81,"array([-390.100069  , -158.30566271])"
82,"array([ -947.36147566, -6631.6625484 ])"
83,"array([-1970.58783112,  1874.23988618])"
84,"array([ 4343.04824164, -1618.78018896])"
85,"array([ 1046.03101545, -3197.37317977])"
86,"array([5969.51646912, -137.99589979])"
87,"array([   59.57477522, -3228.09845323])"
88,"array([-119.55157901,  478.13979036])"
89,"array([3492.80650433, 1767.38403352])"
90,"array([1648.94916086, 4969.11313388])"
91,"array([-6631.6597483 , -1594.56024783])"
92,"array([ 6631.18545234, -1212.93339883])"
93,"array([-53.16074542, 713.06146218])"
94,"array([-3212.28831585,  1559.26921155])"
95,"array([ 135.39586713, -663.0879307 ])"
96,"array([1212.7261912, 3190.7562658])"
97,"array([-2465.35194386, -1476.57270291])"
98,"array([4405.81811396, 6293.16446385])"
99,"array([-1952.25217291,  3884.44736432])"
100,"array([-6017.07087013,  1476.21335274])"
101,"array([-6259.86886597,  2592.73301233])"
102,"array([-4215.66791132,   487.14248782])"
103,"array([-3206.65743946, -5726.00123792])"
104,"array([4356.04996973,  333.30012215])"
105,"array([-3554.7999146 , -3230.13694193])"
106,"array([-107.72905089,  638.40111983])"
107,"array([-4113.57300315, -2393.88452899])"
108,"array([1944.98008748, 6289.75102462])"
109,"array([-4885.36284898,   504.39951463])"
110,"array([  -94.16340243, -7106.25691848])"
111,"array([-3247.76903435,  1939.84967835])"
112,"array([4194.17980479, 6075.60766895])"
113,"array([-259.06152607,  299.89364507])"
114,"array([-120.58972472, -304.63133826])"
115,"array([ 244.7671071 , 3049.98298579])"
116,"array([ 1814.70306264, -5166.16370484])"
117,"array([ 5173.18945855, -1786.01924059])"
118,"array([-5612.8656755 ,  3001.59526763])"
119,"array([4438.66154124, 1525.77584922])"
120,"array([-5040.69230556,  2605.93058674])"
121,"array([3175.16368629, 3317.30272306])"
122,"array([-524.40207833,  208.80679225])"
123,"array([-196.54429395,  898.3517134 ])"
124,"array([-470.13900896,    4.58993647])"
125,"array([-6087.08795238, -2348.17851864])"
126,"array([1280.86700428, 3396.49414317])"
127,"array([  742.70255424, -2720.85970079])"
128,"array([469.55226471, 464.54995396])"
129,"array([3878.50271197, 6679.69532113])"
130,"array([2998.23111267, 2889.47955904])"
131,"array([-5157.12201298,  1565.61404074])"
132,"array([4487.61401901,  885.44014002])"
133,"array([1392.20182573, 2933.24796738])"
134,"array([2296.16921484, 6798.93602599])"
135,"array([-164.05773992,   83.52214771])"
136,"array([ 2065.36785946, -4268.34006208])"
137,"array([-1462.12492101, -3920.32534521])"
138,"array([-3358.47919078,  2029.88985367])"
139,"array([-2296.95755476, -2066.33541766])"
140,"array([-134.59413549, -333.39585325])"
141,"array([160.28469655, 473.01715837])"
142,"array([ 4653.06472843, -3247.42197395])"
143,"array([-2181.70913649, -3684.21071981])"
144,"array([ 871.05586006, 7319.61474856])"
145,"array([-3526.43921416, -3307.78539052])"
146,"array([  646.69467575, -4277.84205137])"
147,"array([-1493.99943407,  6441.47128572])"
148,"array([-2496.35598125,  3853.7762246 ])"
149,"array([-2882.51019873, -3851.82653368])"
150,"array([1172.41329056, 6486.53366384])"
151,"array([3734.14274615, -174.86745698])"
152,"array([-3473.99720093, -5686.04891072])"
153,"array([ 4904.83107843, -1422.58653772])"
154,"array([ 3104.04316056, -3604.55960707])"
155,"array([-4500.24502014,  5146.41980302])"
156,"array([-3700.90988947, -3759.74696912])"
157,"array([-4036.84714778, -4151.48249336])"
158,"array([3670.51880129, -614.99324106])"
159,"array([-4807.7435359 ,   301.87012303])"
160,"array([-2424.22811242, -4739.6500762 ])"
161,"array([-2430.75964237, -1492.37675445])"
162,"array([3664.01021003, 5610.40829079])"
163,"array([421.43496317, -19.32681378])"
164,"array([298.87330798, 696.99499484])"
165,"array([-336.35169156, -235.32297393])"
166,"array([-650.19334756, 3211.95579062])"
