# index, _pos
0,"array([-7473.94903559,  4519.50333404])"
1,"array([  37.24166233, -693.68715604])"
2,"array([-1789.22145477,  6678.07620748])"
3,"array([-2442.31972372,  6558.54161101])"
4,"array([-7363.48624029,  4423.23782953])"
5,"array([1415.38418025,  149.58113026])"
6,"array([4096.10620709, 7600.42105837])"
7,"array([-1209.30531456,  7462.92772428])"
8,"array([3320.28748228, 7988.95153265])"
9,"array([-2496.08885429,  4869.84525394])"
10,"array([-7365.77985197,  4685.54244972])"
11,"array([ 4774.57810221, -2092.58776433])"
12,"array([-8883.56864158,   587.17040033])"
13,"array([6775.9458633 , 7717.01302413])"
14,"array([-10053.8210558 ,   3001.49918898])"
15,"array([-6104.60169538, -5930.12218606])"
16,"array([ 868.34775914, -816.97410982])"
17,"array([6212.71842535, 8553.07257359])"
18,"array([10305.36773254,  3366.33049955])"
19,"array([-2780.47978987,  -508.36784937])"
20,"array([ 539.81147152, 1486.90719367])"
21,"array([1890.41084974, 8392.12236181])"
22,"array([4460.5870954 , 1303.50705122])"
23,"array([-5540.00022241,  2900.72371285])"
24,"array([-7789.94588753,  5441.68168764])"
25,"array([-3845.71129215,  7372.1736094 ])"
26,"array([5695.84579717, 6462.16681685])"
27,"array([  861.68251369, -8414.56310328])"
28,"array([-7069.39101847, -1586.18188728])"
29,"array([9413.80754841, 4853.98558105])"
30,"array([-969.40487389, -427.61836416])"
31,"array([1222.08200392, 6242.9263448 ])"
32,"array([-824.78740535, 6816.08058417])"
33,"array([ 4425.10695856, -6778.59256032])"
34,"array([1645.76494278, 5129.16713615])"
35,"array([7060.5707001 , -687.18786597])"
36,"array([-8510.6459766 ,  6435.31086979])"
37,"array([-5867.50942229, -6842.96706751])"
38,"array([-478.78197548, -237.87488533])"
39,"array([-835.2153274 ,  -48.67815723])"
40,"array([10305.94868394,  4576.66345731])"
41,"array([ 5241.96173823, -6749.52097293])"
42,"array([ 2748.30672159, -7887.21328129])"
43,"array([ 5504.56480544, -4066.43200027])"
44,"array([ 511.05574498, 1163.45443967])"
45,"array([ 9150.56394762, -1788.48120705])"
46,"array([ 4616.73037913, -7625.13899363])"
47,"array([9328.71455443, 4575.7891783 ])"
48,"array([-6117.54795714, -1266.21874126])"
49,"array([9538.65190496, 1052.91171702])"
50,"array([-1315.89897572, -2851.74856279])"
51,"array([-7698.33853569,  3441.24842556])"
52,"array([-9282.35447829,  3069.74266918])"
53,"array([ 4642.33367928, -6432.52361644])"
54,"array([ 1044.91336997, -6856.64016367])"
55,"array([ 1071.62871846, -3562.19038355])"
56,"array([ 5620.93841078, -4540.51707723])"
57,"array([-4214.80033502,  8547.09574325])"
58,"array([-10242.10651821,    731.36908207])"
59,"array([ -476.47922542, -3148.848697  ])"
60,"array([ -463.11000772, -3844.82160291])"
61,"array([-2849.56332907, -8856.71800933])"
62,"array([-7485.84142964, -1480.69062461])"
63,"array([7756.5412746 , 3280.62168051])"
64,"array([-2051.17788724,  5381.09169229])"
65,"array([-3595.56098467,  6260.40782754])"
66,"array([-4394.44027719,    -9.34164173])"
67,"array([-7338.88643286,  3535.80757712])"
68,"array([8110.70168894, 5124.89152582])"
69,"array([-3511.59201334,  2075.24616518])"
70,"array([ 5929.35126065, -6617.89229291])"
71,"array([-7441.09765709,  4806.98929745])"
72,"array([-1866.30429855, -8498.18685804])"
73,"array([-9873.85207634,  1165.49808023])"
74,"array([5505.92719083, 4300.7189606 ])"
75,"array([-5450.42452052,  6676.00838967])"
76,"array([-7019.96184065, -3555.87399489])"
77,"array([2660.65577565, 6066.41433389])"
78,"array([2688.49327703, 2051.1309159 ])"
79,"array([-5752.23930735,  2070.95546301])"
80,"array([ 6855.08337517, -5879.33442692])"
81,"array([ 6552.09598866, -2697.27612551])"
82,"array([  -33.61454877, -9696.22453822])"
83,"array([ 8530.60842312, -3457.73894316])"
84,"array([ 7342.40239894, -6074.33955053])"
85,"array([-3939.44546102,  -247.29136498])"
86,"array([-9751.4690232 ,  3086.69621736])"
87,"array([-2931.28362563, -8739.12596578])"
88,"array([3367.64637732, 2041.09099843])"
89,"array([  103.47621876, -6279.33155521])"
90,"array([  -891.49323952, -10379.93829847])"
91,"array([4393.98050054, 1197.43881222])"
92,"array([ 1041.73949692, -6337.6214211 ])"
93,"array([1018.55875632, 9262.74660347])"
94,"array([-7680.41396001,  6507.47714288])"
95,"array([-3060.10722155, -2729.58190351])"
96,"array([-7985.69988795, -3199.72560986])"
97,"array([397.3425595 , 604.72485088])"
98,"array([-6418.49497854, -4553.50765976])"
99,"array([5107.77758637, -955.74280179])"
100,"array([-5863.75114133,  8458.05615087])"
101,"array([8400.19960701, 4616.90775473])"
102,"array([2950.80416253, 7971.09043745])"
103,"array([2637.50119106, 3502.54541768])"
104,"array([2387.87133466, 2962.08149631])"
105,"array([-2804.1118997 , -8003.97131096])"
106,"array([ 1633.76450252, -6059.94778617])"
107,"array([-2098.89758657, -4505.42630586])"
108,"array([-7062.89994065,  3916.10006023])"
109,"array([8342.4404398 , 6754.94952516])"
110,"array([4868.51021596, 8977.83568322])"
111,"array([ 5457.71102279, -4907.10782671])"
112,"array([-4612.27401823, -3742.51349412])"
113,"array([-9431.92061191, -4229.82186022])"
114,"array([1283.53993343, 4881.86409885])"
115,"array([ 5630.80852332, -2227.11993379])"
116,"array([454.14452034, 563.93900283])"
117,"array([-3478.98831856, -5248.16466779])"
118,"array([9073.89174012, 4876.99354577])"
119,"array([ 2923.36303862, -2349.19728852])"
120,"array([-7229.34997047, -1119.43119864])"
121,"array([-383.46843691, 5011.35563422])"
122,"array([-2232.95825616,  1250.7588709 ])"
123,"array([10128.5922433 , -3167.31542046])"
124,"array([6423.26927748, 4500.52890412])"
125,"array([-4662.35234141,   265.58035565])"
126,"array([7731.97525017, 2177.17920277])"
127,"array([-1112.90574509, 10197.1862474 ])"
128,"array([-9857.2551995 , -4184.24760187])"
129,"array([-547.8067977 , 1467.90771364])"
130,"array([ 5564.35156314, -8881.12706242])"
131,"array([ -59.13609983, 8534.36483641])"
132,"array([  -100.69289267, -10885.01999967])"
133,"array([-1081.01472299, -6869.39514436])"
134,"array([-2732.95082653,  2187.74080786])"
135,"array([6187.77376103, 1439.98415629])"
136,"array([ 409.13858559, -224.45292281])"
137,"array([7665.26497175, 4443.96000839])"
138,"array([-4161.36852911, -2170.47971228])"
139,"array([-7804.43218382,  5089.9550246 ])"
140,"array([-8773.64660062, -5802.99578561])"
141,"array([ 1854.42060342, -8515.60965504])"
142,"array([7490.67445798, 2323.1478495 ])"
143,"array([8769.65358041, 1311.05184129])"
144,"array([ 3969.74379736, -8977.60532698])"
145,"array([-7230.67797261,  4073.57040349])"
146,"array([6293.30093181, 7559.54379024])"
147,"array([-6960.19440467, -6333.65347395])"
148,"array([6514.57458339, 1148.88895888])"
149,"array([-9480.94070712,  5078.54654622])"
150,"array([ 6651.00216377, -3887.20073766])"
151,"array([ 5195.13865343, -3822.69364578])"
152,"array([-5608.45718271, -5871.16580934])"
153,"array([-1619.34155268, -6096.05828877])"
154,"array([-4136.08795947, -1001.5858918 ])"
155,"array([ -352.21394094, -7309.84631372])"
156,"array([ 3947.5496776 , -7276.71069601])"
157,"array([ 1027.27469468, -3944.96382128])"
158,"array([-6440.53966049, -7551.07778287])"
159,"array([-243.46678431,  372.24155696])"
160,"array([-1104.03916728, -9929.23037623])"
161,"array([3571.0456356 , 4815.01304477])"
162,"array([-5353.75055048, -6544.94005381])"
163,"array([  210.78396401, -5158.64068854])"
164,"array([2151.22709924, 5429.62670973])"
165,"array([ -80.11848236, -810.19633131])"
166,"array([ 3036.64438922, 10805.12748544])"
167,"array([1379.94554185, 9994.25893367])"
168,"array([  890.81901042, -5928.71353741])"
169,"array([-2361.48252155, -9569.08383991])"
170,"array([-10328.57443165,   2840.5436733 ])"
171,"array([-1039.53877574, -5686.36189227])"
172,"array([7815.10945974,  691.37951216])"
173,"array([ 7685.05642651, -2116.76858957])"
174,"array([ 5579.52566172, -3464.48383318])"
175,"array([ 410.2831598 , -125.37106576])"
176,"array([  815.8695506, -1152.3597209])"
177,"array([  61.32032377, -884.45634647])"
178,"array([ 311.90368936, 2238.79429279])"
179,"array([-558.91108669,  -39.65871113])"
180,"array([-9991.84361254,  3868.66186046])"
181,"array([468.87936245, 939.22207144])"
182,"array([-5884.14177833, -4930.41812587])"
183,"array([ 451.20162978, 1192.34307218])"
184,"array([ 4667.41164904, -5174.68205745])"
